contentId,BOOKMARK,COMMENT CREATED,FOLLOW,LIKE,VIEW,virality
-8980834789053459155,0.0,0.0,0.0,0.0,1.0,1.0
-8971085667828564532,0.0,0.0,0.0,0.0,6.0,6.0
-8968101771604200516,1.0,1.0,1.0,1.0,13.0,152.0
-8964534883296838326,1.0,0.0,0.0,5.0,24.0,144.0
-8962700386317589038,0.0,0.0,0.0,1.0,11.0,15.0
-8954346068661072425,1.0,1.0,1.0,7.0,98.0,261.0
-8950763842769120954,1.0,0.0,0.0,0.0,50.0,150.0
-8949113594875411859,2.0,3.0,0.0,7.0,43.0,301.0
-8948234514303933700,0.0,2.0,2.0,2.0,33.0,111.0
-8947720860550700506,0.0,1.0,1.0,2.0,8.0,51.0
-8942026248671582808,0.0,0.0,0.0,1.0,7.0,11.0
-8939172344092554931,0.0,0.0,0.0,0.0,16.0,16.0
-8937070974333045193,0.0,0.0,0.0,0.0,12.0,12.0
-8935051432668167578,0.0,0.0,0.0,1.0,0.0,4.0
-8934199835393138432,0.0,0.0,1.0,2.0,10.0,43.0
-8933526098329881084,0.0,0.0,0.0,1.0,21.0,25.0
-8913397556833789413,1.0,1.0,1.0,1.0,13.0,152.0
-8909927294729358771,0.0,1.0,1.0,1.0,19.0,58.0
-8908991577172785311,0.0,0.0,0.0,0.0,26.0,26.0
-8900307211613973542,0.0,0.0,0.0,0.0,7.0,7.0
-8900113512825364282,0.0,7.0,3.0,3.0,20.0,177.0
-8885776096632729273,1.0,0.0,0.0,1.0,12.0,116.0
-8879983698341300928,0.0,0.0,0.0,0.0,5.0,5.0
-8876785823151614444,1.0,0.0,1.0,2.0,15.0,148.0
-8864073373672512525,0.0,0.0,0.0,0.0,9.0,9.0
-8863047175241170722,0.0,0.0,0.0,0.0,16.0,16.0
-8854146354650101086,0.0,2.0,2.0,5.0,23.0,113.0
-8819557474068526071,2.0,3.0,0.0,1.0,13.0,247.0
-8815620240581422908,1.0,0.0,0.0,0.0,18.0,118.0
-8813724423497152538,0.0,2.0,2.0,3.0,72.0,154.0
-8801071115335368509,1.0,0.0,0.0,0.0,6.0,106.0
-8800029253812071912,0.0,1.0,2.0,1.0,26.0,90.0
-8797444257711529901,1.0,0.0,0.0,1.0,19.0,123.0
-8796191278504623694,1.0,0.0,0.0,1.0,10.0,114.0
-8781597910014596432,0.0,0.0,0.0,0.0,6.0,6.0
-8773118241761372618,2.0,0.0,0.0,4.0,20.0,236.0
-8771338872124599367,1.0,1.0,2.0,4.0,55.0,231.0
-8763351865833452031,0.0,0.0,0.0,1.0,4.0,8.0
-8762137947059829459,0.0,0.0,0.0,1.0,6.0,10.0
-8757701761088346244,1.0,0.0,0.0,1.0,31.0,135.0
-8742648016180281673,0.0,1.0,1.0,13.0,160.0,247.0
-8739701156093513292,0.0,1.0,1.0,0.0,4.0,39.0
-8734181034726403477,1.0,0.0,1.0,0.0,24.0,149.0
-8728075196312712282,0.0,4.0,3.0,1.0,9.0,128.0
-8723568727518869245,1.0,0.0,0.0,0.0,12.0,112.0
-8723313435347324769,0.0,2.0,0.0,0.0,9.0,29.0
-8722526817358894474,0.0,0.0,0.0,1.0,7.0,11.0
-8717945432162716060,0.0,0.0,1.0,1.0,46.0,75.0
-8706427875719844202,0.0,0.0,0.0,1.0,18.0,22.0
